StateCode,Division,Year,Month,PCP,TAVG,PDSI,PHDI,ZNDX,PMDI,CDD,HDD,SP01,SP02,SP03,SP06,SP09,SP12,SP24,TMIN,TMAX
106,0,1993,10,3.11,61.5,3.56,3.56,0.92,3.56,95,121,0.43,0.3,0.1,0.4,0.55,1.13,1.8,49,74
106,0,1993,11,2.32,48.1,3.3,3.3,0.34,3.3,9,425,0.03,0.24,0.19,0.16,0.49,0.74,1.88,35.8,60.4
106,0,1993,12,2.15,45.5,2.84,2.84,-0.36,2.64,7,513,-0.25,-0.21,0.02,-0.21,0.31,0.56,1.1,34,57
106,0,1994,1,2.51,41.4,2.73,2.73,0.53,2.68,10,631,0.39,0,-0.07,-0.03,0.26,0.44,1.05,30.1,52.6
106,0,1994,2,2.15,44.7,2.59,2.59,0.43,2.59,10,473,-0.03,0.22,-0.05,0.05,0.07,0.38,0.91,32.2,57.2
106,0,1994,3,2.63,55.2,2.21,2.21,-0.33,2.01,43,272,-0.06,-0.1,0.09,0.01,-0.18,0.29,0.87,42,68.3
106,0,1994,4,3.32,62.7,2.09,2.09,0.3,1.95,91,91,0.25,0.15,0.06,-0.08,-0.05,0.23,1.02,49.4,75.9
106,0,1994,5,4.1,69.3,2.01,2.01,0.41,1.98,204,25,0.15,0.23,0.18,0.03,0.01,0.07,1.04,58.1,80.5
106,0,1994,6,2.91,80.4,1.47,1.47,-0.98,0.93,474,0,-0.52,-0.29,-0.15,-0.04,-0.13,-0.25,0.62,68.7,92.1
106,0,1994,7,4.06,80.5,1.74,1.74,1.26,1.7,511,0,0.89,0.12,0.13,0.12,0.03,0.01,0.63,68.7,92.2
106,0,1994,8,2.48,79.6,1.5,1.5,-0.18,1.3,479,1,-0.38,0.23,-0.19,-0.06,-0.08,-0.06,0.52,67.6,91.6
106,0,1994,9,2.39,72.6,1.03,1.03,-0.95,0.31,284,11,-0.64,-0.81,-0.25,-0.28,-0.18,-0.2,0.44,60,85.2
