,Unnamed: 0,gmsl_change,month,year
161,161,37.42000000000001,6.0,2006.0
162,162,40.54666666666668,7.0,2006.0
163,163,41.33666666666668,8.0,2006.0
164,164,47.69666666666668,9.0,2006.0
165,165,47.966666666666676,10.0,2006.0
166,166,45.238333333333344,11.0,2006.0
167,167,43.67666666666668,12.0,2006.0
168,168,40.16666666666668,1.0,2007.0
169,169,39.81333333333335,2.0,2007.0
170,170,38.74000000000001,3.0,2007.0
171,171,40.30666666666668,4.0,2007.0
172,172,36.56000000000001,5.0,2007.0
173,173,37.110000000000014,6.0,2007.0
174,174,37.50083333333335,7.0,2007.0
175,175,42.07000000000001,8.0,2007.0
176,176,44.05333333333334,9.0,2007.0
177,177,45.95333333333335,10.0,2007.0
178,178,48.74333333333335,11.0,2007.0
179,179,41.90333333333334,12.0,2007.0
180,180,41.12000000000001,1.0,2008.0
181,181,38.250000000000014,2.0,2008.0
182,182,39.69000000000001,3.0,2008.0
183,183,36.58000000000001,4.0,2008.0
184,184,39.79666666666668,5.0,2008.0
185,185,42.34000000000001,6.0,2008.0
186,186,42.63000000000001,7.0,2008.0
187,187,45.33583333333334,8.0,2008.0
188,188,48.46000000000001,9.0,2008.0
189,189,50.600000000000016,10.0,2008.0
190,190,50.680000000000014,11.0,2008.0
191,191,46.34333333333335,12.0,2008.0
192,192,44.46583333333334,1.0,2009.0
193,193,43.23000000000001,2.0,2009.0
194,194,44.77000000000001,3.0,2009.0
195,195,43.45666666666668,4.0,2009.0
196,196,42.44000000000001,5.0,2009.0
197,197,43.16333333333334,6.0,2009.0
198,198,45.19333333333334,7.0,2009.0
199,199,49.250000000000014,8.0,2009.0
200,200,56.09833333333334,9.0,2009.0
201,201,58.65333333333334,10.0,2009.0
202,202,55.56666666666668,11.0,2009.0
203,203,52.52333333333334,12.0,2009.0
204,204,49.19000000000001,1.0,2010.0
205,205,49.735833333333346,2.0,2010.0
206,206,46.56666666666668,3.0,2010.0
207,207,47.59000000000001,4.0,2010.0
208,208,48.52000000000001,5.0,2010.0
209,209,49.45666666666668,6.0,2010.0
210,210,49.09333333333335,7.0,2010.0
211,211,48.80000000000001,8.0,2010.0
212,212,51.56000000000001,9.0,2010.0
213,213,53.06833333333334,10.0,2010.0
214,214,49.29666666666668,11.0,2010.0
215,215,47.65333333333334,12.0,2010.0
216,216,45.52666666666668,1.0,2011.0
217,217,44.01666666666668,2.0,2011.0
218,218,42.003333333333345,3.0,2011.0
219,219,41.42833333333334,4.0,2011.0
220,220,43.23666666666668,5.0,2011.0
221,221,46.02000000000001,6.0,2011.0
222,222,46.05666666666668,7.0,2011.0
223,223,53.293333333333344,8.0,2011.0
224,224,54.38000000000001,9.0,2011.0
225,225,57.95000000000002,10.0,2011.0
226,226,54.51000000000001,11.0,2011.0
227,227,54.05000000000001,12.0,2011.0
228,228,55.44000000000001,1.0,2012.0
229,229,53.99666666666668,2.0,2012.0
230,230,52.52666666666668,3.0,2012.0
231,231,52.75666666666668,4.0,2012.0
232,232,52.525833333333345,5.0,2012.0
233,233,55.23666666666668,6.0,2012.0
234,234,60.323333333333345,7.0,2012.0
235,235,61.54333333333335,8.0,2012.0
236,236,66.28666666666668,9.0,2012.0
237,237,67.70000000000002,10.0,2012.0
238,238,66.18333333333334,11.0,2012.0
239,239,65.39333333333335,12.0,2012.0
240,240,63.150000000000006,1.0,2013.0
241,241,61.69333333333334,2.0,2013.0
242,242,61.63333333333334,3.0,2013.0
243,243,59.150000000000006,4.0,2013.0
244,244,57.170000000000016,5.0,2013.0
245,245,55.363333333333344,6.0,2013.0
246,246,59.260000000000005,7.0,2013.0
247,247,59.530000000000015,8.0,2013.0
248,248,64.64333333333335,9.0,2013.0
249,249,67.30000000000001,10.0,2013.0
250,250,66.37,11.0,2013.0
251,251,62.120000000000005,12.0,2013.0
252,252,61.38000000000001,1.0,2014.0
253,253,63.17666666666668,2.0,2014.0
254,254,62.76333333333335,3.0,2014.0
255,255,59.57000000000001,4.0,2014.0
256,256,57.52666666666668,5.0,2014.0
257,257,58.58333333333334,6.0,2014.0
258,258,62.99333333333334,7.0,2014.0
259,259,67.43583333333335,8.0,2014.0
260,260,69.37,9.0,2014.0
261,261,72.62666666666667,10.0,2014.0
262,262,68.05333333333334,11.0,2014.0
263,263,72.96333333333334,12.0,2014.0
264,264,67.73833333333334,1.0,2015.0
265,265,71.05666666666667,2.0,2015.0
266,266,69.50333333333334,3.0,2015.0
267,267,69.69333333333334,4.0,2015.0
268,268,67.03000000000002,5.0,2015.0
269,269,71.33000000000001,6.0,2015.0
270,270,74.40666666666668,7.0,2015.0
271,271,78.35666666666668,8.0,2015.0
272,272,83.28333333333335,9.0,2015.0
273,273,85.75333333333334,10.0,2015.0
274,274,82.60333333333335,11.0,2015.0
275,275,78.17833333333334,12.0,2015.0
276,276,78.20666666666669,1.0,2016.0
277,277,78.15666666666667,2.0,2016.0
278,278,78.39083333333335,3.0,2016.0
279,279,74.23000000000002,4.0,2016.0
280,280,72.25666666666667,5.0,2016.0
281,281,75.20333333333335,6.0,2016.0
282,282,74.04666666666668,7.0,2016.0
283,283,74.96333333333334,8.0,2016.0
284,284,80.11666666666669,9.0,2016.0
285,285,81.33583333333334,10.0,2016.0
286,286,83.69333333333334,11.0,2016.0
287,287,78.62833333333334,12.0,2016.0
288,288,75.55666666666667,1.0,2017.0
289,289,73.04,2.0,2017.0
290,290,75.31083333333333,3.0,2017.0
291,291,74.84,4.0,2017.0
292,292,72.26666666666668,5.0,2017.0
293,293,73.78333333333333,6.0,2017.0
294,294,76.59333333333335,7.0,2017.0
295,295,80.79000000000002,8.0,2017.0
296,296,84.84333333333335,9.0,2017.0
297,297,85.59666666666666,10.0,2017.0
298,298,87.31833333333334,11.0,2017.0
299,299,83.48333333333335,12.0,2017.0
